tourney_name,tourney_level,surface,winner_name,minutes,winner_rank,loser_rank,Serve_point_won_percentage,Ace_per_game,Break_point_save_percentage,Return_point_won_percentage,Break_point_conversion,Year
Brisbane,A,Hard,Grigor Dimitrov,107.4,14.0,46.4,0.7488289731303928,0.9172727272727272,0.9199999999999999,0.4251982705665675,0.39841269841269844,2024
United Cup,A,Hard,Alexander Zverev,148.0,7.0,20.75,0.7567694518125552,0.5353553921568628,0.45,0.34617118869569846,0.39366883116883117,2024
Hong Kong,A,Hard,Andrey Rublev,107.0,5.0,99.0,0.7107225037402806,0.7332251082251082,0.7321428571428572,0.40971216137765926,0.3151785714285714,2024
Adelaide,A,Hard,Jiri Lehecka,101.8,32.0,67.4,0.688418320251639,0.7703030303030303,0.7277777777777777,0.4353821026843339,0.39174603174603173,2024
Auckland,A,Hard,Alejandro Tabilo,75.4,82.0,55.6,0.5466164984378755,0.5430303030303031,0.4714285714285714,0.3383893762183236,0.5342857142857144,2024
Australian Open,G,Hard,Jannik Sinner,158.28571428571428,4.0,39.0,0.7078381614914803,0.5392316017316018,0.6285714285714287,0.4235718782411015,0.4609101216244073,2024
Montpellier,A,Hard,Alexander Bublik,141.5,27.0,65.75,0.6512308569566634,0.9666666666666667,0.5848214285714286,0.40650940570333094,0.3472222222222222,2024
Cordoba,A,Clay,Luciano Darderi,100.8,136.0,87.6,0.6816794473463293,0.5023504273504275,0.5761904761904761,0.47534982121139296,0.5105916305916306,2024
Dallas,A,Hard,Tommy Paul,102.5,15.0,51.25,0.6958108945387547,0.43374925727866903,0.6666666666666666,0.4227856968810916,0.5639880952380952,2024
Marseille,A,Hard,Ugo Humbert,85.75,21.0,32.75,0.7373663101604279,0.7236111111111111,0.6666666666666666,0.39514864650313564,0.5823863636363636,2024
Delray Beach,A,Hard,Taylor Fritz,93.25,9.0,49.0,0.7086150386010133,0.8737373737373737,0.375,0.4134723601456471,0.4666666666666667,2024
Buenos Aires,A,Clay,Facundo Diaz Acosta,98.8,87.0,52.0,0.6624529064081303,0.22888888888888892,0.7133333333333334,0.4634939778846549,0.5047474747474747,2024
Rotterdam,A,Hard,Jannik Sinner,93.8,4.0,97.0,0.7189607786210996,0.4457431457431458,0.6833333333333333,0.36486919047653554,0.605,2024
Doha,A,Hard,Karen Khachanov,79.5,17.0,66.25,0.7528378604963113,0.5159090909090909,0.325,0.4357867494824017,0.6916666666666667,2024
Los Cabos,A,Hard,Jordan Thompson,144.4,40.0,146.4,0.6699777646181795,0.5238740344622698,0.8067307692307691,0.42097021993054823,0.5666666666666667,2024
Rio De Janeiro,A,Clay,Sebastian Baez,101.0,30.0,91.6,0.6592014645038231,0.20080808080808082,0.4830952380952381,0.4810060708144717,0.4523809523809524,2024
Acapulco,A,Hard,Alex De Minaur,103.6,9.0,34.8,0.6631002289745923,0.36833333333333335,0.6404761904761904,0.4905267872914932,0.5555555555555556,2024
Dubai,A,Hard,Ugo Humbert,112.0,18.0,31.2,0.7012712420820983,0.5273304473304473,0.6678571428571429,0.38844024978150377,0.3593073593073593,2024
Santiago,A,Clay,Sebastian Baez,125.0,21.0,85.25,0.6228427558856734,0.29662698412698413,0.7892857142857143,0.44463436926915184,0.446875,2024
Indian Wells Masters,M,Hard,Carlos Alcaraz,100.33333333333333,2.0,23.666666666666668,0.7433406002105977,0.23304843304843303,0.625,0.45284299028866615,0.5013278388278389,2024
Miami Masters,M,Hard,Jannik Sinner,94.5,3.0,52.666666666666664,0.7579140487370736,0.5243055555555555,0.5416666666666666,0.43812079448367774,0.44023569023569026,2024
Estoril,A,Clay,Hubert Hurkacz,104.0,10.0,132.25,0.7079797945063065,0.810064935064935,0.6160714285714286,0.3895592317245461,0.37976190476190474,2024
Houston,A,Clay,Ben Shelton,140.75,16.0,63.5,0.716606513092991,0.45982142857142855,0.736111111111111,0.3496138847059732,0.4427083333333333,2024
Marrakech,A,Clay,Matteo Berrettini,116.4,135.0,62.8,0.6953245174038607,0.4766233766233766,0.8083333333333332,0.41248689997303983,0.4202686202686203,2024
Monte Carlo Masters,M,Clay,Stefanos Tsitsipas,98.16666666666667,12.0,16.5,0.6573078612766609,0.42228835978835977,0.7333333333333333,0.4545455382654526,0.4875,2024
Barcelona,A,Clay,Casper Ruud,91.4,6.0,44.0,0.696457417807008,0.18343434343434342,0.675,0.44574940303990446,0.5083333333333333,2024
Munich,A,Clay,Jan Lennard Struff,88.5,28.0,37.5,0.7049255820807544,0.6311688311688312,0.7416666666666667,0.47689892678459755,0.4378121878121878,2024
Bucharest,A,Clay,Marton Fucsovics,121.2,82.0,69.2,0.6500280252484348,0.4892929292929293,0.6142857142857142,0.4546269634504928,0.5333333333333333,2024
Madrid Masters,M,Clay,Andrey Rublev,106.0,8.0,40.0,0.723129247378199,0.5279829103358514,0.6041666666666666,0.405870007263548,0.35296370296370294,2024
Rome Masters,M,Clay,Alexander Zverev,100.16666666666667,5.0,41.0,0.7512202984878428,0.8468919968919968,0.5,0.3916866472800715,0.4759259259259259,2024
Geneva,A,Clay,Casper Ruud,111.75,7.0,41.25,0.6507778656512834,0.2144105894105894,0.125,0.4052077600213807,0.575,2024
Lyon,A,Clay,Giovanni Mpetshi Perricard,84.4,117.0,54.8,0.5636642926965507,0.5345454545454545,0.36857142857142855,0.31072263763255836,0.3327272727272727,2024
