tourney_name,tourney_level,surface,winner_name,minutes,winner_rank,loser_rank,Serve_point_won_percentage,Ace_per_game,Break_point_save_percentage,Return_point_won_percentage,Break_point_conversion,Year
Auckland,A,Hard,Magnus Norman,87.2,14.0,74.8,0.679812842475745,0.6143939393939395,0.5999999999999999,0.440259592975145,0.48,2000
St. Poelten,A,Clay,Andrei Pavel,99.8,43.0,48.2,0.5928249281190456,0.2304895104895105,0.4111111111111111,0.4563569250786071,0.5049206349206349,2000
Munich,A,Clay,Franco Squillari,93.6,52.0,51.5,0.6695073960291388,0.2173015873015872,0.4,0.4502152909478048,0.5005860805860806,2000
Queen's Club,A,Grass,Lleyton Hewitt,75.0,11.0,117.0,0.7047764892457131,0.6444444444444445,0.4833333333333333,0.3992148830858508,0.5438095238095239,2000
Gstaad,A,Clay,Alex Corretja,102.4,10.0,38.6,0.7119631475342656,0.459047619047619,0.6446153846153846,0.4507384605569555,0.4796778711484594,2000
Newport,A,Grass,Peter Wessels,82.0,133.0,126.8,0.5996682123005419,0.6057589469354175,0.2666666666666667,0.2324823016389379,0.5238095238095238,2000
Bastad,A,Clay,Magnus Norman,69.8,2.0,75.6,0.7504299006856552,0.4737301587301586,0.4800000000000001,0.4766782990008796,0.5057142857142857,2000
Stockholm,A,Hard,Thomas Johansson,94.6,57.0,33.4,0.7222774504185805,0.6794444444444444,0.5672727272727273,0.4412846956964603,0.5988888888888889,2000
Scottsdale,A,Hard,Lleyton Hewitt,97.8,18.0,25.2,0.6425264646569706,0.3720279720279719,0.6988888888888889,0.4484973091424704,0.5528571428571428,2000
Moscow,A,Carpet,Yevgeny Kafelnikov,75.6,7.0,131.4,0.6926965646217617,0.5952020202020202,0.5366666666666666,0.4751196172248804,0.538919413919414,2000
Mallorca,A,Clay,Marat Safin,92.6,20.0,68.6,0.6950791249758913,0.706060606060606,0.6647058823529411,0.399502666577037,0.4365079365079364,2000
Australian Open,G,Hard,Andre Agassi,121.0,1.0,36.71428571428572,0.7377044127034524,0.4880861995147709,0.5340136054421769,0.4218998433009935,0.4623915300385889,2000
